Animal,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,chest discomfort,swelling in extremities,chills,anthrax
goat,depression,loss of appetite,painless lumps,pneumonia
goat,chills,shortness of breath,swelling in extremities,anthrax
cow,chills,chest discomfort,fatigue,anthrax
buffalo,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,chest discomfort,swelling in abdomen,shortness of breath,anthrax
buffalo,chest discomfort,fatigue,sweats,anthrax
goat,depression,loss of appetite,painless lumps,pneumonia
cow,loss of appetite,swelling in limb,crackling sound,blackleg
cow,fatigue,sweats,swelling in extremities,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
goat,lameness,blisters on hooves,loss of appetite,foot and mouth
buffalo,sweats,swelling in extremities,shortness of breath,anthrax
goat,painless lumps,depression,loss of appetite,lumpy virus
sheep,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
cow,lameness,sores on gums,loss of appetite,foot and mouth
buffalo,sweats,fatigue,shortness of breath,anthrax
cow,loss of appetite,depression,lameness,blackleg
goat,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,fatigue,chest discomfort,swelling in abdomen,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
sheep,swelling in muscle,loss of appetite,difficulty walking,blackleg
sheep,loss of appetite,difficulty walking,sores on mouth,foot and mouth
goat,chills,fatigue,sweats,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,loss of appetite,swelling in muscle,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
buffalo,lameness,loss of appetite,blisters on hooves,foot and mouth
sheep,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,sweats,fatigue,chest discomfort,anthrax
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,sores on hooves,lameness,loss of appetite,foot and mouth
goat,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
cow,lameness,loss of appetite,blisters on hooves,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,painless lumps,loss of appetite,depression,lumpy virus
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,swelling in neck,shortness of breath,chest discomfort,anthrax
cow,loss of appetite,sores on mouth,lameness,foot and mouth
goat,lameness,loss of appetite,blisters on mouth,foot and mouth
goat,depression,crackling sound,loss of appetite,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,shortness of breath,chills,sweats,anthrax
buffalo,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,difficulty walking,crackling sound,swelling in muscle,blackleg
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,painless lumps,loss of appetite,depression,pneumonia
buffalo,crackling sound,loss of appetite,depression,blackleg
cow,shortness of breath,chest discomfort,swelling in neck,anthrax
buffalo,loss of appetite,blisters on mouth,lameness,foot and mouth
cow,crackling sound,swelling in muscle,lameness,blackleg
sheep,loss of appetite,painless lumps,depression,lumpy virus
goat,lameness,sores on tongue,loss of appetite,foot and mouth
sheep,loss of appetite,sores on tongue,lameness,foot and mouth
cow,lameness,depression,crackling sound,blackleg
goat,difficulty walking,loss of appetite,sores on hooves,foot and mouth
sheep,loss of appetite,painless lumps,depression,pneumonia
goat,blisters on tongue,lameness,loss of appetite,foot and mouth
sheep,shortness of breath,sweats,chest discomfort,anthrax
buffalo,sweats,chest discomfort,swelling in extremities,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,difficulty walking,loss of appetite,sores on tongue,foot and mouth
buffalo,loss of appetite,sores on gums,lameness,foot and mouth
cow,depression,crackling sound,lameness,blackleg
goat,depression,loss of appetite,painless lumps,pneumonia
goat,fatigue,chills,chest discomfort,anthrax
goat,lameness,blisters on tongue,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,lameness,sores on gums,loss of appetite,foot and mouth
sheep,fatigue,swelling in abdomen,shortness of breath,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,sweats,swelling in abdomen,chills,anthrax
cow,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,sweats,shortness of breath,chills,anthrax
goat,loss of appetite,painless lumps,depression,pneumonia
sheep,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,shortness of breath,fatigue,sweats,anthrax
sheep,loss of appetite,sores on hooves,difficulty walking,foot and mouth
sheep,swelling in neck,shortness of breath,fatigue,anthrax
buffalo,lameness,loss of appetite,blisters on hooves,foot and mouth
cow,shortness of breath,swelling in abdomen,chest discomfort,anthrax
goat,loss of appetite,lameness,crackling sound,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
buffalo,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,sores on tongue,loss of appetite,difficulty walking,foot and mouth
cow,chills,sweats,shortness of breath,anthrax
sheep,painless lumps,loss of appetite,depression,pneumonia
sheep,lameness,crackling sound,swelling in muscle,blackleg
goat,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,chest discomfort,swelling in extremities,fatigue,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,shortness of breath,chest discomfort,swelling in extremities,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,difficulty walking,sores on hooves,loss of appetite,foot and mouth
cow,fatigue,chills,sweats,anthrax
cow,fatigue,sweats,chills,anthrax
cow,depression,painless lumps,loss of appetite,pneumonia
goat,swelling in muscle,loss of appetite,crackling sound,blackleg
cow,difficulty walking,loss of appetite,depression,blackleg
goat,crackling sound,swelling in muscle,difficulty walking,blackleg
sheep,shortness of breath,fatigue,chills,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
sheep,shortness of breath,swelling in neck,chills,anthrax
cow,loss of appetite,swelling in muscle,difficulty walking,blackleg
buffalo,blisters on gums,difficulty walking,loss of appetite,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,swelling in neck,shortness of breath,chest discomfort,anthrax
goat,painless lumps,loss of appetite,depression,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in neck,chest discomfort,fatigue,anthrax
goat,swelling in neck,chills,sweats,anthrax
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,swelling in muscle,difficulty walking,loss of appetite,blackleg
buffalo,difficulty walking,depression,crackling sound,blackleg
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,painless lumps,loss of appetite,depression,pneumonia
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,swelling in limb,crackling sound,lameness,blackleg
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,lameness,sores on hooves,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
cow,chills,swelling in neck,sweats,anthrax
sheep,crackling sound,depression,loss of appetite,blackleg
goat,loss of appetite,lameness,blisters on tongue,foot and mouth
buffalo,loss of appetite,crackling sound,lameness,blackleg
cow,depression,lameness,swelling in muscle,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
cow,sores on tongue,loss of appetite,lameness,foot and mouth
cow,painless lumps,depression,loss of appetite,lumpy virus
goat,crackling sound,loss of appetite,difficulty walking,blackleg
cow,swelling in neck,shortness of breath,fatigue,anthrax
goat,chest discomfort,shortness of breath,swelling in abdomen,anthrax
buffalo,depression,crackling sound,loss of appetite,blackleg
goat,swelling in extremities,chest discomfort,sweats,anthrax
sheep,swelling in limb,difficulty walking,depression,blackleg
cow,fatigue,sweats,shortness of breath,anthrax
buffalo,chest discomfort,chills,swelling in neck,anthrax
sheep,lameness,loss of appetite,swelling in limb,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,painless lumps,loss of appetite,depression,lumpy virus
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,chills,shortness of breath,swelling in extremities,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
goat,depression,painless lumps,loss of appetite,pneumonia
cow,painless lumps,loss of appetite,depression,pneumonia
goat,fatigue,chest discomfort,chills,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,fatigue,chills,chest discomfort,anthrax
goat,loss of appetite,sores on gums,difficulty walking,foot and mouth
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,swelling in muscle,crackling sound,lameness,blackleg
buffalo,chest discomfort,swelling in abdomen,sweats,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,chest discomfort,chills,swelling in neck,anthrax
cow,sweats,fatigue,shortness of breath,anthrax
goat,depression,crackling sound,difficulty walking,blackleg
buffalo,difficulty walking,swelling in muscle,depression,blackleg
goat,fatigue,chills,shortness of breath,anthrax
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,sores on gums,lameness,loss of appetite,foot and mouth
cow,depression,difficulty walking,swelling in limb,blackleg
goat,swelling in extremities,chest discomfort,shortness of breath,anthrax
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,fatigue,sweats,chest discomfort,anthrax
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,crackling sound,loss of appetite,lameness,blackleg
goat,crackling sound,loss of appetite,swelling in limb,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,crackling sound,swelling in muscle,lameness,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
cow,crackling sound,swelling in limb,loss of appetite,blackleg
buffalo,swelling in abdomen,chest discomfort,sweats,anthrax
cow,blisters on gums,loss of appetite,difficulty walking,foot and mouth
goat,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,lameness,loss of appetite,blisters on gums,foot and mouth
buffalo,painless lumps,depression,loss of appetite,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,loss of appetite,sores on tongue,lameness,foot and mouth
sheep,difficulty walking,loss of appetite,crackling sound,blackleg
cow,depression,loss of appetite,painless lumps,lumpy virus
buffalo,loss of appetite,depression,swelling in limb,blackleg
sheep,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,blisters on tongue,loss of appetite,lameness,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,crackling sound,difficulty walking,swelling in limb,blackleg
buffalo,fatigue,shortness of breath,chest discomfort,anthrax
cow,chills,fatigue,sweats,anthrax
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,sores on mouth,loss of appetite,lameness,foot and mouth
sheep,loss of appetite,lameness,sores on hooves,foot and mouth
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,chest discomfort,shortness of breath,fatigue,anthrax
cow,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
goat,chest discomfort,fatigue,shortness of breath,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,difficulty walking,crackling sound,depression,blackleg
buffalo,fatigue,chills,swelling in abdomen,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,crackling sound,depression,lameness,blackleg
buffalo,blisters on gums,difficulty walking,loss of appetite,foot and mouth
goat,swelling in neck,chest discomfort,sweats,anthrax
sheep,fatigue,chest discomfort,swelling in extremities,anthrax
cow,shortness of breath,swelling in neck,fatigue,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,depression,loss of appetite,painless lumps,lumpy virus
buffalo,loss of appetite,depression,painless lumps,lumpy virus
cow,sores on hooves,lameness,loss of appetite,foot and mouth
goat,difficulty walking,crackling sound,loss of appetite,blackleg
goat,loss of appetite,depression,painless lumps,lumpy virus
buffalo,sweats,chills,chest discomfort,anthrax
cow,difficulty walking,loss of appetite,blisters on gums,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,loss of appetite,painless lumps,depression,lumpy virus
buffalo,chills,chest discomfort,sweats,anthrax
buffalo,crackling sound,loss of appetite,depression,blackleg
sheep,depression,swelling in limb,crackling sound,blackleg
goat,swelling in extremities,fatigue,sweats,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
goat,loss of appetite,crackling sound,swelling in muscle,blackleg
cow,loss of appetite,lameness,blisters on tongue,foot and mouth
sheep,lameness,loss of appetite,sores on gums,foot and mouth
sheep,painless lumps,loss of appetite,depression,lumpy virus
buffalo,sweats,chills,chest discomfort,anthrax
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,depression,loss of appetite,lameness,blackleg
buffalo,depression,loss of appetite,painless lumps,pneumonia
sheep,depression,painless lumps,loss of appetite,pneumonia
goat,loss of appetite,depression,painless lumps,pneumonia
buffalo,loss of appetite,painless lumps,depression,lumpy virus
goat,blisters on tongue,loss of appetite,lameness,foot and mouth
buffalo,blisters on gums,lameness,loss of appetite,foot and mouth
cow,loss of appetite,depression,painless lumps,pneumonia
goat,swelling in neck,chest discomfort,chills,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,depression,loss of appetite,painless lumps,pneumonia
cow,shortness of breath,fatigue,chills,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
goat,loss of appetite,difficulty walking,crackling sound,blackleg
goat,lameness,swelling in muscle,crackling sound,blackleg
sheep,depression,painless lumps,loss of appetite,lumpy virus
goat,sweats,shortness of breath,fatigue,anthrax
cow,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,difficulty walking,blisters on mouth,loss of appetite,foot and mouth
goat,blisters on gums,loss of appetite,lameness,foot and mouth
buffalo,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,swelling in muscle,loss of appetite,lameness,blackleg
goat,loss of appetite,lameness,swelling in limb,blackleg
cow,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
sheep,loss of appetite,painless lumps,depression,pneumonia
sheep,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
buffalo,chest discomfort,shortness of breath,chills,anthrax
cow,shortness of breath,fatigue,sweats,anthrax
sheep,crackling sound,lameness,depression,blackleg
sheep,swelling in extremities,chest discomfort,shortness of breath,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,swelling in muscle,crackling sound,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,loss of appetite,sores on mouth,lameness,foot and mouth
cow,sweats,shortness of breath,fatigue,anthrax
goat,loss of appetite,blisters on hooves,lameness,foot and mouth
sheep,crackling sound,swelling in limb,depression,blackleg
sheep,shortness of breath,sweats,chills,anthrax
buffalo,swelling in extremities,chills,sweats,anthrax
sheep,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
buffalo,depression,crackling sound,swelling in limb,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,painless lumps,loss of appetite,depression,pneumonia
cow,painless lumps,depression,loss of appetite,lumpy virus
sheep,loss of appetite,crackling sound,swelling in limb,blackleg
buffalo,fatigue,swelling in abdomen,chills,anthrax
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,swelling in muscle,lameness,blackleg
goat,swelling in muscle,crackling sound,depression,blackleg
sheep,difficulty walking,swelling in limb,crackling sound,blackleg
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,crackling sound,lameness,swelling in limb,blackleg
buffalo,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,difficulty walking,sores on gums,loss of appetite,foot and mouth
buffalo,shortness of breath,fatigue,swelling in extremities,anthrax
sheep,loss of appetite,lameness,sores on mouth,foot and mouth
goat,lameness,blisters on gums,loss of appetite,foot and mouth
buffalo,chills,shortness of breath,swelling in neck,anthrax
sheep,swelling in extremities,shortness of breath,chest discomfort,anthrax
cow,shortness of breath,fatigue,chills,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
goat,loss of appetite,lameness,depression,blackleg
cow,crackling sound,depression,difficulty walking,blackleg
sheep,shortness of breath,fatigue,sweats,anthrax
cow,swelling in extremities,sweats,chest discomfort,anthrax
buffalo,chills,shortness of breath,fatigue,anthrax
sheep,depression,loss of appetite,crackling sound,blackleg
goat,blisters on hooves,loss of appetite,lameness,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
sheep,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,sweats,chest discomfort,chills,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
buffalo,crackling sound,depression,difficulty walking,blackleg
cow,chest discomfort,chills,shortness of breath,anthrax
sheep,loss of appetite,depression,painless lumps,lumpy virus
sheep,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,swelling in muscle,loss of appetite,lameness,blackleg
sheep,chest discomfort,shortness of breath,fatigue,anthrax
buffalo,painless lumps,depression,loss of appetite,lumpy virus
goat,fatigue,chest discomfort,swelling in extremities,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
cow,sweats,fatigue,shortness of breath,anthrax
buffalo,sweats,fatigue,shortness of breath,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,swelling in muscle,loss of appetite,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,painless lumps,depression,pneumonia
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,chest discomfort,chills,swelling in abdomen,anthrax
sheep,chest discomfort,swelling in neck,fatigue,anthrax
buffalo,depression,difficulty walking,swelling in muscle,blackleg
cow,sores on mouth,loss of appetite,difficulty walking,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,sweats,chest discomfort,shortness of breath,anthrax
sheep,loss of appetite,sores on gums,lameness,foot and mouth
sheep,fatigue,shortness of breath,sweats,anthrax
cow,difficulty walking,loss of appetite,blisters on gums,foot and mouth
sheep,depression,painless lumps,loss of appetite,pneumonia
goat,depression,loss of appetite,painless lumps,lumpy virus
cow,chest discomfort,chills,shortness of breath,anthrax
goat,sweats,fatigue,shortness of breath,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,shortness of breath,fatigue,sweats,anthrax
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,blisters on tongue,loss of appetite,lameness,foot and mouth
cow,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
goat,difficulty walking,loss of appetite,depression,blackleg
cow,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
cow,shortness of breath,chills,sweats,anthrax
cow,sores on mouth,difficulty walking,loss of appetite,foot and mouth
sheep,difficulty walking,loss of appetite,sores on tongue,foot and mouth
cow,chest discomfort,fatigue,sweats,anthrax
cow,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,pneumonia
goat,lameness,depression,crackling sound,blackleg
goat,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,sweats,chills,chest discomfort,anthrax
buffalo,loss of appetite,depression,swelling in muscle,blackleg
buffalo,difficulty walking,swelling in muscle,crackling sound,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,blisters on tongue,loss of appetite,lameness,foot and mouth
sheep,chest discomfort,chills,swelling in neck,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,lameness,loss of appetite,depression,blackleg
cow,fatigue,shortness of breath,chills,anthrax
goat,swelling in abdomen,shortness of breath,chest discomfort,anthrax
cow,swelling in extremities,chest discomfort,sweats,anthrax
sheep,loss of appetite,depression,painless lumps,lumpy virus
sheep,lameness,loss of appetite,blisters on hooves,foot and mouth
goat,chest discomfort,swelling in abdomen,sweats,anthrax
buffalo,chills,shortness of breath,fatigue,anthrax
sheep,sweats,chills,shortness of breath,anthrax
sheep,shortness of breath,fatigue,chest discomfort,anthrax
buffalo,loss of appetite,blisters on gums,difficulty walking,foot and mouth
goat,painless lumps,loss of appetite,depression,lumpy virus
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
goat,painless lumps,loss of appetite,depression,lumpy virus
goat,swelling in extremities,chest discomfort,shortness of breath,anthrax
goat,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,crackling sound,loss of appetite,lameness,blackleg
sheep,chest discomfort,fatigue,sweats,anthrax
sheep,loss of appetite,difficulty walking,crackling sound,blackleg
sheep,sores on mouth,lameness,loss of appetite,foot and mouth
sheep,loss of appetite,difficulty walking,blisters on tongue,foot and mouth
goat,shortness of breath,chest discomfort,fatigue,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
cow,painless lumps,loss of appetite,depression,pneumonia
goat,chest discomfort,fatigue,chills,anthrax
goat,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in extremities,sweats,fatigue,anthrax
sheep,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,loss of appetite,blisters on mouth,lameness,foot and mouth
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,crackling sound,swelling in muscle,loss of appetite,blackleg
cow,loss of appetite,blisters on gums,difficulty walking,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,painless lumps,depression,loss of appetite,pneumonia
cow,sores on mouth,difficulty walking,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,lumpy virus
buffalo,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
cow,painless lumps,depression,loss of appetite,lumpy virus
sheep,depression,lameness,crackling sound,blackleg
buffalo,lameness,loss of appetite,blisters on gums,foot and mouth
buffalo,lameness,loss of appetite,sores on gums,foot and mouth
sheep,sores on mouth,loss of appetite,lameness,foot and mouth
cow,depression,painless lumps,loss of appetite,pneumonia
buffalo,chest discomfort,sweats,shortness of breath,anthrax
cow,lameness,loss of appetite,sores on mouth,foot and mouth
cow,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,loss of appetite,blisters on mouth,lameness,foot and mouth
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,shortness of breath,swelling in abdomen,chills,anthrax
goat,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,painless lumps,depression,pneumonia
cow,chills,chest discomfort,fatigue,anthrax
buffalo,crackling sound,difficulty walking,depression,blackleg
goat,loss of appetite,lameness,blisters on mouth,foot and mouth
goat,difficulty walking,blisters on gums,loss of appetite,foot and mouth
goat,fatigue,sweats,shortness of breath,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,depression,crackling sound,swelling in limb,blackleg
cow,painless lumps,loss of appetite,depression,pneumonia
cow,swelling in neck,sweats,fatigue,anthrax
goat,depression,loss of appetite,painless lumps,lumpy virus
buffalo,sweats,chest discomfort,swelling in extremities,anthrax
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,fatigue,chills,shortness of breath,anthrax
goat,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,depression,painless lumps,loss of appetite,lumpy virus
buffalo,difficulty walking,swelling in muscle,depression,blackleg
buffalo,swelling in muscle,lameness,loss of appetite,blackleg
goat,crackling sound,depression,swelling in limb,blackleg
buffalo,shortness of breath,chest discomfort,chills,anthrax
goat,crackling sound,swelling in muscle,loss of appetite,blackleg
goat,shortness of breath,chills,swelling in extremities,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,loss of appetite,lameness,blisters on mouth,foot and mouth
sheep,loss of appetite,painless lumps,depression,lumpy virus
sheep,difficulty walking,swelling in limb,loss of appetite,blackleg
buffalo,lameness,sores on hooves,loss of appetite,foot and mouth
buffalo,fatigue,shortness of breath,swelling in neck,anthrax
cow,loss of appetite,difficulty walking,crackling sound,blackleg
cow,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
goat,depression,crackling sound,difficulty walking,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,swelling in neck,fatigue,shortness of breath,anthrax
sheep,loss of appetite,painless lumps,depression,lumpy virus
sheep,sores on mouth,difficulty walking,loss of appetite,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,fatigue,swelling in extremities,chills,anthrax
goat,painless lumps,loss of appetite,depression,lumpy virus
cow,loss of appetite,difficulty walking,depression,blackleg
sheep,depression,loss of appetite,crackling sound,blackleg
cow,loss of appetite,crackling sound,swelling in muscle,blackleg
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,shortness of breath,fatigue,sweats,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,sweats,shortness of breath,swelling in extremities,anthrax
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,lameness,loss of appetite,blisters on gums,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
buffalo,sweats,swelling in extremities,fatigue,anthrax
cow,depression,swelling in limb,crackling sound,blackleg
cow,shortness of breath,sweats,swelling in extremities,anthrax
buffalo,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,lameness,blisters on tongue,loss of appetite,foot and mouth
sheep,chills,chest discomfort,swelling in abdomen,anthrax
buffalo,depression,crackling sound,swelling in limb,blackleg
buffalo,chest discomfort,chills,fatigue,anthrax
sheep,sores on gums,difficulty walking,loss of appetite,foot and mouth
cow,crackling sound,loss of appetite,swelling in limb,blackleg
buffalo,difficulty walking,loss of appetite,swelling in muscle,blackleg
buffalo,sores on hooves,loss of appetite,difficulty walking,foot and mouth
sheep,difficulty walking,loss of appetite,blisters on tongue,foot and mouth
buffalo,lameness,loss of appetite,swelling in limb,blackleg
sheep,chest discomfort,fatigue,swelling in extremities,anthrax
buffalo,swelling in muscle,lameness,loss of appetite,blackleg
buffalo,swelling in muscle,depression,loss of appetite,blackleg
goat,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,lumpy virus
sheep,chest discomfort,fatigue,sweats,anthrax
cow,blisters on mouth,lameness,loss of appetite,foot and mouth
cow,difficulty walking,loss of appetite,sores on tongue,foot and mouth
